Date,Ticker,TimeBarStart,OpenBarTime,OpenBidPrice,OpenBidSize,OpenAskPrice,OpenAskSize,FirstTradeTime,FirstTradePrice,FirstTradeSize,HighBidTime,HighBidPrice,HighBidSize,HighAskTime,HighAskPrice,HighAskSize,HighTradeTime,HighTradePrice,HighTradeSize,LowBidTime,LowBidPrice,LowBidSize,LowAskTime,LowAskPrice,LowAskSize,LowTradeTime,LowTradePrice,LowTradeSize,CloseBarTime,CloseBidPrice,CloseBidSize,CloseAskPrice,CloseAskSize,LastTradeTime,LastTradePrice,LastTradeSize,MinSpread,MaxSpread,CancelSize,VolumeWeightPrice,NBBOQuoteCount,TradeAtBid,TradeAtBidMid,TradeAtMid,TradeAtMidAsk,TradeAtAsk,TradeAtCrossOrLocked,Volume,TotalTrades,FinraVolume,FinraVolumeWeightPrice,UptickVolume,DowntickVolume,RepeatUptickVolume,RepeatDowntickVolume,UnknownTickVolume,TradeToMidVolWeight,TradeToMidVolWeightRelative,TimeWeightBid,TimeWeightAsk
20200128,AAPL,04:00,04:00:00.000000000,,,,,04:00:00.013359679,312.60,25,04:00:00.069948208,311.10,500,04:00:00.066821817,313.40,200,04:00:00.013359679,312.60,25,04:00:00.016809947,301.51,100,04:00:00.069950241,311.35,100,04:00:13.503381492,311.10,30,04:00:59.999999999,311.00,600,311.70,100,04:00:56.046861949,311.20,3,0.25,2.40,,311.486,40,43,23,0,619,83,0,1443,16,0,,130,716,470,102,25,12.62543,0.19897,311.06156,311.62988
20200128,AAPL,04:01,04:01:00.000000000,311.00,600,311.70,100,04:01:09.900182150,311.01,30,04:01:00.000000000,311.00,600,04:01:00.000000000,311.70,100,04:01:09.900495233,311.07,30,04:01:32.260968345,309.76,100,04:01:28.104657139,310.49,200,04:01:28.710610430,310.43,100,04:01:59.999999999,310.03,100,310.85,100,04:01:31.483720951,310.43,34,0.06,1.15,,310.57852,102,1508,211,0,822,86,0,2627,31,0,,30,661,0,1936,0,-8.92444,-0.27127,310.34109,311.06929
20200128,AAPL,04:02,04:02:00.000000000,310.03,100,310.85,100,04:02:25.007722643,310.33,1,04:02:57.016029861,310.04,100,04:02:00.000000000,310.85,100,04:02:25.007722643,310.33,1,04:02:00.000000000,310.03,100,04:02:22.918391699,310.33,300,04:02:36.030248477,310.30,10,04:02:59.999999999,310.04,100,310.85,100,04:02:42.391482091,310.33,100,0.30,0.82,,310.31814,18,0,0,0,100,153,0,253,7,0,,52,11,100,90,0,13.81423,0.46047,310.0305,310.67398
20200128,AAPL,04:03,04:03:00.000000000,310.04,100,310.85,100,04:03:14.512720103,310.33,20,04:03:57.456389027,310.41,200,04:03:27.812273087,310.91,100,04:03:15.222955136,310.85,50,04:03:53.438747546,310.00,100,04:03:28.968540140,310.73,100,04:03:14.512720103,310.33,20,04:03:59.999999999,310.41,200,310.73,100,04:03:15.223369479,310.73,150,0.32,0.81,,310.72091,28,0,20,0,150,50,0,220,3,0,,50,150,20,0,0,22.09091,0.31558,310.22009,310.78909
20200128,AAPL,04:04,04:04:00.000000000,310.41,200,310.73,100,04:04:03.233987243,310.50,4,04:04:00.000000000,310.41,200,04:04:00.000000000,310.73,100,04:04:57.819196775,310.68,10,04:04:08.222138184,310.20,100,04:04:00.000000000,310.73,100,04:04:03.234003046,310.41,115,04:04:59.999999999,310.20,100,310.73,100,04:04:57.819196775,310.68,10,0.32,0.53,,310.4295,4,145,85,0,10,0,0,240,6,0,,10,120,0,110,0,-13.6125,-0.43648,310.22878,310.73
20200128,AAPL,04:05,04:05:00.000000000,310.20,100,310.73,100,04:05:03.849921585,310.68,3,04:05:33.323153466,310.73,200,04:05:57.327224950,310.95,200,04:05:33.323156114,310.73,100,04:05:49.724920903,310.11,100,04:05:47.703876050,310.55,200,04:05:10.868358668,310.50,10,04:05:59.999999999,310.11,100,310.88,100,04:05:52.914159410,310.50,40,0.14,0.84,,310.61512,48,540,300,210,153,50,0,1253,14,0,,280,310,223,440,0,-8.3763,-0.27125,310.41789,310.75202
20200128,AAPL,04:06,04:06:00.000000000,310.11,100,310.88,100,04:06:16.459027940,310.53,20,04:06:14.511140909,310.12,100,04:06:00.773307613,310.95,200,04:06:17.455790854,310.70,6,04:06:58.943514720,309.02,500,04:06:58.949970930,309.85,300,04:06:58.943540995,309.85,40,04:06:59.999999999,309.22,100,310.11,100,04:06:59.182748956,309.85,46,0.26,1.38,,310.18974,62,0,367,12,197,90,0,666,25,0,,96,359,20,191,0,8.76201,0.07527,310.07248,310.65878
20200128,AAPL,04:07,04:07:00.000000000,309.22,100,310.11,100,04:07:18.248420828,309.80,78,04:07:22.342339615,310.11,100,04:07:22.347337232,310.46,100,04:07:22.347343600,310.11,100,04:07:39.706388645,309.09,100,04:07:14.698242549,310.10,100,04:07:18.248420828,309.80,78,04:07:59.999999999,309.90,300,310.46,100,04:07:35.986733196,310.10,50,0.30,1.37,,310.0879,62,1518,271,0,250,0,100,2139,22,0,,251,128,1750,10,0,-11.27256,-0.08941,309.66297,310.32837
20200128,AAPL,04:08,04:08:00.000000000,309.90,300,310.46,100,04:08:04.114391477,310.10,50,04:08:59.214508555,310.15,100,04:08:00.000000000,310.46,100,04:08:34.710292501,310.20,20,04:08:33.199366857,309.09,100,04:08:33.998713872,310.16,100,04:08:28.380116102,310.00,3,04:08:59.999999999,310.15,100,310.46,100,04:08:43.516034530,310.11,37,0.31,1.37,,310.07688,68,37,53,0,80,0,0,170,5,0,,20,40,0,110,0,2.35882,-0.08029,309.77106,310.44517
20200128,AAPL,04:09,04:09:00.000000000,310.15,100,310.46,100,04:09:10.785699060,310.18,10,04:09:22.250283663,310.25,100,04:09:00.000000000,310.46,100,04:09:22.235312796,310.20,72,04:09:00.000000000,310.15,100,04:09:00.000000000,310.46,100,04:09:10.785699060,310.18,10,04:09:59.999999999,310.16,100,310.46,100,04:09:27.502389979,310.20,1,0.21,0.31,,310.19759,6,0,83,0,0,0,0,83,3,0,,82,0,1,0,0,-10.74096,-0.34648,310.15861,310.46
