Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200128,AAPL,04:00,312.60,312.60,311.10,311.20,311.486,1443,16
20200128,AAPL,04:01,311.01,311.07,310.43,310.43,310.57852,2627,31
20200128,AAPL,04:02,310.33,310.33,310.30,310.33,310.31814,253,7
20200128,AAPL,04:03,310.33,310.85,310.33,310.73,310.72091,220,3
20200128,AAPL,04:04,310.50,310.68,310.41,310.68,310.4295,240,6
20200128,AAPL,04:05,310.68,310.73,310.50,310.50,310.61512,1253,14
20200128,AAPL,04:06,310.53,310.70,309.85,309.85,310.18974,666,25
20200128,AAPL,04:07,309.80,310.11,309.80,310.10,310.0879,2139,22
20200128,AAPL,04:08,310.10,310.20,310.00,310.11,310.07688,170,5
20200128,AAPL,04:09,310.18,310.20,310.18,310.20,310.19759,83,3
20200128,AAPL,04:10,310.21,310.46,310.18,310.46,310.25346,153,5
20200128,AAPL,04:11,310.46,310.46,310.33,310.33,310.41661,436,13
20200128,AAPL,04:12,310.45,310.60,310.40,310.60,310.45322,752,12
20200128,AAPL,04:13,310.70,310.70,310.70,310.70,310.70,34,1
20200128,AAPL,04:14,310.70,310.85,310.60,310.60,310.61709,117,4
20200128,AAPL,04:15,310.89,310.95,310.84,310.95,310.88284,510,9
20200128,AAPL,04:16,310.93,310.93,310.93,310.93,310.93,100,1
20200128,AAPL,04:17,310.93,310.93,310.90,310.90,310.914,45,2
20200128,AAPL,04:18,310.95,310.96,310.95,310.96,310.9575,80,3
20200128,AAPL,04:19,310.98,311.06,310.98,311.06,310.99016,315,5
20200128,AAPL,04:20,310.98,310.98,310.98,310.98,310.98,10,1
20200128,AAPL,04:22,310.98,311.07,310.98,311.07,311.06246,211,4
20200128,AAPL,04:23,311.00,311.09,311.00,311.09,311.08571,42,2
20200128,AAPL,04:24,311.00,311.00,310.98,311.00,310.99829,164,5
20200128,AAPL,04:25,311.10,311.15,310.96,311.10,311.02838,717,8
20200128,AAPL,04:26,310.91,311.10,310.85,310.85,310.92811,249,8
20200128,AAPL,04:27,310.79,310.79,310.75,310.75,310.76448,192,4
20200128,AAPL,04:28,310.70,310.75,310.62,310.62,310.72244,205,5
20200128,AAPL,04:29,310.84,310.84,310.84,310.84,310.84,10,1
20200128,AAPL,04:30,310.95,310.95,310.95,310.95,310.95,90,2
20200128,AAPL,04:31,310.85,310.85,310.85,310.85,310.85,2,1
20200128,AAPL,04:32,310.92,311.03,310.92,311.03,310.93492,122,3
20200128,AAPL,04:33,311.15,311.28,311.15,311.28,311.254,35,2
20200128,AAPL,04:34,311.30,311.35,311.30,311.35,311.33187,353,7
20200128,AAPL,04:35,311.25,311.30,311.25,311.28,311.26715,249,4
20200128,AAPL,04:37,311.25,311.29,311.25,311.29,311.25667,120,3
20200128,AAPL,04:38,311.15,311.35,311.10,311.35,311.25405,1149,11
20200128,AAPL,04:40,311.33,311.33,311.33,311.33,311.33,48,1
20200128,AAPL,04:41,311.17,311.17,311.17,311.17,311.17,200,1
20200128,AAPL,04:42,311.32,311.49,311.32,311.49,311.34372,557,9
20200128,AAPL,04:43,311.49,311.70,311.39,311.70,311.52901,1010,14
20200128,AAPL,04:44,311.60,311.70,311.60,311.70,311.61176,17,2
20200128,AAPL,04:45,311.77,311.77,311.77,311.77,311.77,12,1
20200128,AAPL,04:47,311.70,311.75,311.53,311.75,311.65614,830,11
20200128,AAPL,04:48,311.68,311.68,311.54,311.54,311.55261,222,5
20200128,AAPL,04:49,311.53,311.68,311.53,311.68,311.555,180,3
20200128,AAPL,04:50,311.53,311.53,311.50,311.50,311.51442,654,7
20200128,AAPL,04:51,311.50,311.50,311.50,311.50,311.50,50,1
20200128,AAPL,04:52,311.50,311.50,311.50,311.50,311.50,6,1
20200128,AAPL,04:53,311.50,311.50,311.15,311.15,311.24211,38,2
