"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,134,088,063,880","0.67%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,783,819,089,247","1.06%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,115,013,560,000","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,115,013,560,000","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,000,986,307,749","0.00%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$420,785,100,000","0.09%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$383,536,733,508","0.00%","USA","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$368,476,200,000","0.00%","USA","Analyze"
"ASML","ASML Holding NV ADRs","ADRs","Large cap","Information Technology","$265,945,221,916","1.00%","The Netherlands","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$241,956,075,060","2.89%","USA","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$241,429,761,785","2.56%","USA","Analyze"
"AZN","AstraZeneca PLC ADRs","ADRs","Large cap","Health Care","$220,265,568,098","2.03%","United Kingdom","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$215,319,514,719","0.72%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$200,840,302,883","3.08%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$186,224,990,777","0.00%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$167,942,630,939","2.76%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$162,464,412,165","2.59%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$160,102,262,000","0.00%","USA","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$147,038,214,563","0.00%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$145,631,718,674","1.81%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$144,989,477,646","2.82%","USA","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$134,789,040,000","2.42%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$124,263,970,000","4.77%","USA","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$123,078,594,000","1.84%","USA","Analyze"
"PDD","Pinduoduo Inc. ADRs","ADRs","Large cap","Consumer Discretionary","$122,645,409,893","0.00%","China","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$114,477,287,502","0.00%","USA","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$110,462,656,874","0.74%","USA","Analyze"
